label,HR,low,high
2013,0.8642050986501855,0.621352387872719,1.2019756696999537
2014,0.5595413106054004,0.4061933013681151,0.7707819829118074
2015,0.6969887736113928,0.5013179168854645,0.9690324925117367
2016,0.8484255088393333,0.6085080567684065,1.1829356013329528
2017,0.5819720613941942,0.4110793172617802,0.823907859192354
2018,0.7571455133233131,0.5346209468305612,1.0722911845190217
2019,0.5377034504661019,0.3712737174188008,0.7787381305987128
2020,0.627562351668999,0.3813117370793753,1.032841286892625
2021,0.5769819596581826,0.37967090141081644,0.876833543297486
2022,0.5958284168886183,0.35813828206865916,0.9912693508256049
Overall,0.6751725582382772,0.6080685972048764,0.7496818376963935
Treatment × year,0.97557571553296,0.9369898781434095,1.0157505421760582
